velocity_lsr_km_s,frequency_mhz,brightness_temperature_k
-114.48140900195693,1420.9481605180451,4.001960267454501e-12
-113.30724070450097,1420.9425973513985,1.2703865928840635e-11
-112.133072407045,1420.937034184752,3.923318725550845e-11
-110.95890410958904,1420.9314710181052,1.1787986306485702e-10
-109.78473581213308,1420.9259078514585,3.445948549728276e-10
-108.61056751467711,1420.920344684812,9.801148944375596e-10
-107.43639921722112,1420.9147815181652,2.7124474784686873e-09
-106.26223091976516,1420.9092183515186,7.304328296920283e-09
-105.0880626223092,1420.9036551848722,1.9140520806850166e-08
-103.91389432485323,1420.8980920182255,4.880937862518033e-08
-102.73972602739727,1420.8925288515788,1.211301360535656e-07
-101.5655577299413,1420.8869656849322,2.925673440314335e-07
-100.39138943248531,1420.8814025182858,6.877834660002498e-07
-99.21722113502935,1420.8758393516391,1.573837234347358e-06
-98.04305283757338,1420.8702761849922,3.5057648763224168e-06
-96.86888454011742,1420.8647130183458,7.602498703758393e-06
-95.69471624266146,1420.8591498516992,1.6051647752350214e-05
-94.5205479452055,1420.8535866850527,3.300011583065757e-05
-93.3463796477495,1420.8480235184059,6.606797610401981e-05
-92.17221135029354,1420.8424603517592,0.0001288243934261208
-90.99804305283757,1420.8368971851128,0.0002446774684665179
-89.82387475538161,1420.8313340184661,0.00045273265614066357
-88.64970645792565,1420.8257708518195,0.0008162281831787727
-87.47553816046965,1420.8202076851728,0.0014341045657987415
-86.30136986301369,1420.8146445185264,0.0024560410411419145
-85.12720156555773,1420.8090813518797,0.004100829596996956
-83.95303326810176,1420.8035181852329,0.006677220240784906
-82.7788649706458,1420.7979550185864,0.01060538177242036
-81.60469667318984,1420.7923918519398,0.016435993386512884
-80.43052837573384,1420.7868286852934,0.024862932776652105
-79.25636007827788,1420.7812655186465,0.03672486702930429
-78.08219178082192,1420.7757023519998,0.05299113174735176
-76.90802348336595,1420.7701391853534,0.0747283918659268
-75.73385518590999,1420.7645760187067,0.10304682913700737
-74.55968688845402,1420.75901285206,0.13902783025438328
-73.38551859099803,1420.7534496854134,0.183638862277963
-72.21135029354207,1420.747886518767,0.2376446459676612
-71.0371819960861,1420.7423233521204,0.30152598029720856
-69.86301369863014,1420.7367601854735,0.3754178616869156
-68.68884540117418,1420.731197018827,0.4590764882411388
-67.51467710371821,1420.7256338521804,0.5518805180610625
-66.34050880626222,1420.720070685534,0.6528663388127406
-65.16634050880626,1420.714507518887,0.760791328679253
-63.992172211350294,1420.7089443522405,0.8742145064012563
-62.81800391389433,1420.703381185594,0.9915816905428847
-61.643835616438366,1420.6978180189474,1.1113028466541828
-60.469667318982374,1420.6922548523005,1.2318124854504224
-59.29549902152641,1420.686691685654,1.3516088959168893
-58.12133072407045,1420.6811285190076,1.469273351517137
-56.94716242661448,1420.675565352361,1.583474878975496
-55.77299412915852,1420.670002185714,1.6929687250733456
-54.598825831702555,1420.6644390190677,1.7965968714185832
-53.42465753424656,1420.658875852421,1.893297034385555
-52.2504892367906,1420.6533126857746,1.9821232531279676
-51.076320939334636,1420.6477495191277,2.0622773713454583
-49.90215264187867,1420.642186352481,2.1331473917402266
-48.72798434442271,1420.6366231858347,2.1943465105757216
-47.553816046966745,1420.631060019188,2.2457459419006667
-46.37964774951075,1420.6254968525411,2.2874953663956874
-45.20547945205479,1420.6199336858947,2.320026655605295
-44.031311154598825,1420.614370519248,2.3440389446691205
-42.85714285714283,1420.6088073526016,2.3604656525959444
-41.6829745596869,1420.6032441859547,2.3704262576091715
-40.508806262230905,1420.5976810193083,2.3751672434821858
-39.33463796477497,1420.5921178526617,2.3759975104451545
-38.16046966731898,1420.5865546860152,2.374223694797847
-36.986301369862986,1420.5809915193684,2.371090367807132
-35.81213307240705,1420.5754283527217,2.367729149755949
-34.63796477495106,1420.5698651860753,2.365119566487238
-33.46379647749512,1420.5643020194286,2.364063177719643
-32.28962818003913,1420.5587388527817,2.3651712816056882
-31.115459882583195,1420.5531756861353,2.368865479482304
-29.941291585127203,1420.5476125194887,2.375389663486871
-28.76712328767121,1420.5420493528422,2.3848316257096114
-27.592954990215276,1420.5364861861954,2.397152501589103
-26.418786692759284,1420.530923019549,2.4122226330845873
-25.24461839530335,1420.5253598529023,2.429863102112093
-24.070450097847356,1420.5197966862559,2.4498930152975236
-22.896281800391364,1420.514233519609,2.4721834166859527
-21.72211350293543,1420.5086703529623,2.496719183244081
-20.547945205479436,1420.503107186316,2.523670066883313
-19.3737769080235,1420.4975440196692,2.55347081349117
-18.19960861056751,1420.4919808530224,2.5869077179090647
-17.025440313111574,1420.486417686376,2.625204990172417
-15.851272015655582,1420.4808545197293,2.6700992307720854
-14.67710371819959,1420.4752913530829,2.7238849903640063
-13.502935420743654,1420.469728186436,2.78941023322716
-12.328767123287662,1420.4641650197896,2.8699993491199907
-11.154598825831727,1420.458601853143,2.969284993483983
-9.980430528375734,1420.4530386864965,3.0909397288327147
-8.806262230919742,1420.4474755198496,3.2383141930802473
-7.632093933463807,1420.441912353203,3.4140085802739897
-6.457925636007815,1420.4363491865565,3.61942497711052
-5.2837573385518795,1420.4307860199099,3.8543645916554055
-4.109589041095887,1420.425222853263,4.116740938461742
-2.935420743639895,1420.4196596866166,4.402473679474092
-1.7612524461839598,1420.41409651997,4.705606873438951
-0.5870841487279677,1420.4085333533235,5.018662297480066
0.5870841487279677,1420.4029701866768,5.333199234658914
1.7612524461839598,1420.3974070200302,5.640514924517591
2.935420743639895,1420.3918438533835,5.932393211417909
4.109589041095887,1420.3862806867369,6.20179913917766
5.2837573385518795,1420.3807175200902,6.443426728724953
6.457925636007815,1420.3751543534436,6.654033691668399
7.632093933463807,1420.3695911867972,6.83253414227217
8.806262230919742,1420.3640280201505,6.9798600415083945
9.980430528375734,1420.3584648535038,7.098635830334822
11.154598825831727,1420.3529016868572,7.192732398809796
12.328767123287662,1420.3473385202105,7.266773594268634
13.502935420743654,1420.341775353564,7.32566193225156
14.67710371819959,1420.3362121869175,7.37417385606875
15.851272015655582,1420.3306490202708,7.416653950888603
17.025440313111574,1420.3250858536242,7.456816943856507
18.19960861056751,1420.3195226869775,7.497649803274851
19.3737769080235,1420.3139595203309,7.5413956569485325
20.547945205479436,1420.3083963536842,7.589596706140743
21.72211350293543,1420.3028331870378,7.643173683925769
22.896281800391364,1420.2972700203911,7.702522954817067
24.070450097847356,1420.2917068537445,7.767617316713514
25.24461839530335,1420.2861436870978,7.838101558412034
26.418786692759284,1420.2805805204512,7.913377991258111
27.592954990215276,1420.2750173538045,7.992680164742801
28.76712328767121,1420.269454187158,8.075134819576279
29.941291585127203,1420.2638910205114,8.1598130630868
31.115459882583195,1420.2583278538648,8.245772072056484
32.28962818003913,1420.2527646872181,8.332088610685398
33.46379647749512,1420.2472015205715,8.417885497010918
34.63796477495106,1420.2416383539248,8.502351980729323
35.81213307240705,1420.2360751872784,8.584758864276042
36.986301369862986,1420.2305120206317,8.664469118720074
38.16046966731898,1420.224948853985,8.740944704737668
39.33463796477497,1420.2193856873384,8.813750286775559
40.508806262230905,1420.2138225206918,8.882554506689726
41.6829745596869,1420.2082593540451,8.947129448184564
42.85714285714283,1420.2026961873987,9.007348868187773
44.031311154598825,1420.197133020752,9.063185694448723
45.20547945205482,1420.1915698541054,9.114709192968629
46.37964774951075,1420.1860066874588,9.162082099935773
47.553816046966745,1420.180443520812,9.205557897665997
48.72798434442268,1420.1748803541655,9.245478300061203
49.90215264187867,1420.169317187519,9.28227090736632
51.076320939334664,1420.1637540208724,9.31644689870814
52.2504892367906,1420.1581908542257,9.348598558987886
53.42465753424659,1420.152627687579,9.37939638769028
54.59882583170253,1420.1470645209324,9.409585513080778
55.77299412915852,1420.1415013542858,9.43998113661771
56.947162426614454,1420.1359381876393,9.471462758357239
58.12133072407045,1420.1303750209925,9.504966982611966
59.29549902152644,1420.124811854346,9.541478771073823
60.469667318982374,1420.1192486876994,9.582021094216723
61.643835616438366,1420.1136855210527,9.627643026769807
62.8180039138943,1420.108122354406,9.679406434926026
63.992172211350294,1420.1025591877597,9.738371507366173
65.16634050880629,1420.0969960211128,9.80558148519654
66.34050880626222,1420.0914328544663,9.882047044323915
67.51467710371821,1420.0858696878197,9.96873087553271
68.68884540117415,1420.080306521173,10.06653309201538
69.86301369863014,1420.0747433545264,10.176278172801577
71.03718199608613,1420.06918018788,10.29870422753861
72.21135029354207,1420.063617021233,10.43445545079908
73.38551859099806,1420.0580538545867,10.584078733705955
74.559686888454,1420.05249068794,10.748025531876825
75.73385518590999,1420.0469275212934,10.926660267669613
76.90802348336592,1420.0413643546467,11.120276783370425
78.08219178082192,1420.0358011880003,11.329124655816527
79.25636007827791,1420.0302380213534,11.553447489418645
80.43052837573384,1420.024674854707,11.793535509353427
81.60469667318984,1420.0191116880603,12.04979464939828
82.77886497064577,1420.0135485214137,12.322833476376557
83.95303326810176,1420.007985354767,12.613567132324578
85.12720156555775,1420.0024221881206,12.92333326175339
86.30136986301369,1419.9968590214737,13.254007853586787
87.47553816046968,1419.9912958548273,13.608098558035229
88.64970645792562,1419.9857326881806,13.98877956063073
89.82387475538161,1419.980169521534,14.399817055434047
90.99804305283755,1419.9746063548873,14.845321186906297
92.17221135029354,1419.969043188241,15.329254576242263
93.34637964774953,1419.963480021594,15.854636428372405
94.52054794520546,1419.9579168549476,16.422412123816024
95.69471624266146,1419.952353688301,17.030016099331277
96.86888454011739,1419.9467905216543,17.669739889020867
98.04305283757338,1419.9412273550076,18.327117671963286
99.21722113502938,1419.9356641883612,18.97963836767998
100.39138943248531,1419.9301010217143,19.596157331334556
101.5655577299413,1419.924537855068,20.137380218001482
102.73972602739724,1419.9189746884213,20.55770139528693
103.91389432485323,1419.9134115217746,20.808491735652954
105.08806262230922,1419.907848355128,20.8426643403635
106.26223091976516,1419.9022851884815,20.62004893509558
107.43639921722115,1419.8967220218346,20.112845089864763
108.61056751467709,1419.891158855188,19.310275076696716
109.78473581213308,1419.8855956885416,18.221576571072482
110.95890410958901,1419.880032521895,16.87668394304716
112.133072407045,1419.8744693552483,15.324316285476248
113.307240704501,1419.8689061886016,13.627646301286752
114.48140900195693,1419.863343021955,11.858164176292021
115.65557729941293,1419.8577798553083,10.088671772397793
116.82974559686886,1419.8522166886619,8.38647103372582
118.00391389432485,1419.8466535220152,6.807722279800405
119.17808219178085,1419.8410903553686,5.393674051029498
120.35225048923678,1419.835527188722,4.169081120997334
121.52641878669277,1419.8299640220753,3.142726164733291
122.70058708414871,1419.8244008554286,2.309631247749095
123.8747553816047,1419.8188376887822,1.6543464344207783
125.04892367906069,1419.8132745221355,1.1546530867063294
126.22309197651663,1419.807711355489,0.7850997222729829
127.39726027397262,1419.8021481888422,0.519953942984391
128.57142857142856,1419.7965850221956,0.3353513489139875
129.74559686888455,1419.791021855549,0.21060429890054033
130.91976516634048,1419.7854586889025,0.12876877648793503
132.09393346379647,1419.7798955222559,0.07664442151170686
133.26810176125247,1419.7743323556092,0.04440512753797753
134.4422700587084,1419.7687691889626,0.02503969147494817
135.6164383561644,1419.763206022316,0.013741461611732652
136.79060665362033,1419.7576428556692,0.007338603444598822
137.96477495107632,1419.7520796890228,0.003813660604817084
139.1389432485323,1419.7465165223762,0.0019283823957253587
140.31311154598825,1419.7409533557295,0.0009487320817492229
141.48727984344424,1419.7353901890829,0.00045412174591897604
142.66144814090018,1419.7298270224362,0.00021147555796242553
143.83561643835617,1419.7242638557896,9.58053608127925e-05
145.00978473581216,1419.7187006891431,4.222263046141931e-05
146.1839530332681,1419.7131375224965,1.810139509582332e-05
147.3581213307241,1419.7075743558498,7.548779562149276e-06
148.53228962818002,1419.7020111892032,3.0621545272065418e-06
149.70645792563602,1419.6964480225565,1.2082361578604232e-06
150.88062622309195,1419.6908848559099,4.6370363144402467e-07
152.05479452054794,1419.6853216892634,1.7309458303127584e-07
153.22896281800394,1419.6797585226168,6.284516210994114e-08
154.40313111545987,1419.6741953559701,2.219204629956526e-08
155.57729941291586,1419.6686321893235,7.621707774610856e-09
156.7514677103718,1419.6630690226768,2.5458308023682805e-09
157.9256360078278,1419.6575058560302,8.270322086849904e-10
159.09980430528378,1419.6519426893838,2.6129117555307224e-10
160.27397260273972,1419.6463795227369,8.02843123984492e-11
161.4481409001957,1419.6408163560905,2.399025381763844e-11
162.62230919765165,1419.6352531894438,6.971594348502034e-12
163.79647749510764,1419.6296900227971,1.9702335993184846e-12
164.97064579256357,1419.6241268561505,5.414859578874391e-13
166.14481409001957,1419.618563689504,1.4472259144111217e-13
167.31898238747556,1419.6130005228572,3.7615007423301075e-14
168.4931506849315,1419.6074373562108,9.507315956185795e-15
169.66731898238748,1419.6018741895641,2.336808545103274e-15
170.84148727984342,1419.5963110229175,5.585389179778627e-16
172.0156555772994,1419.5907478562708,1.2982122522327986e-16
173.1898238747554,1419.5851846896244,2.9342488895286807e-17
174.36399217221134,1419.5796215229775,6.449177900353327e-18
175.53816046966733,1419.574058356331,1.378368237728337e-18
176.71232876712327,1419.5684951896844,2.8646865841258087e-19
177.88649706457926,1419.5629320230378,5.789452866243752e-20
179.06066536203525,1419.5573688563911,1.1377430608279368e-20
180.2348336594912,1419.5518056897447,2.174177304457447e-21
181.40900195694718,1419.5462425230978,4.0400593059574706e-22
182.58317025440311,1419.5406793564514,7.299961522542185e-23
183.7573385518591,1419.5351161898047,1.2826009890577777e-23
184.93150684931504,1419.529553023158,2.191285404870926e-24
186.10567514677103,1419.5239898565114,3.6403319440171036e-25
187.27984344422703,1419.518426689865,5.880524415794596e-26
188.45401174168296,1419.5128635232181,9.236822462627627e-27
189.62818003913895,1419.5073003565717,1.4107793974183237e-27
190.8023483365949,1419.501737189925,2.0951936284546953e-28
191.97651663405088,1419.4961740232784,3.0256340202620397e-29
193.15068493150687,1419.4906108566317,4.248488887180076e-30
194.3248532289628,1419.4850476899853,5.800656951795921e-31
195.4990215264188,1419.4794845233384,7.700931757709154e-32
196.67318982387474,1419.473921356692,9.941035077151104e-33
197.84735812133073,1419.4683581900454,1.2477887449249917e-33
199.02152641878672,1419.4627950233987,1.5228971693658934e-34
200.19569471624266,1419.457231856752,1.8072537115764798e-35
201.36986301369865,1419.4516686901056,2.085382446581136e-36
202.54403131115458,1419.4461055234588,2.3397496638461947e-37
203.71819960861058,1419.4405423568123,2.552520566044882e-38
204.8923679060665,1419.4349791901657,2.7075993509819662e-39
206.0665362035225,1419.429416023519,2.792633852919211e-40
207.2407045009785,1419.4238528568724,2.8006395802102314e-41
208.41487279843443,1419.418289690226,2.7309470728840604e-42
209.58904109589042,1419.412726523579,2.5892943282345956e-43
210.76320939334636,1419.4071633569326,2.3870465970437395e-44
211.93737769080235,1419.401600190286,2.1396907239717948e-45
213.11154598825829,1419.3960370236393,1.864880704311293e-46
214.28571428571433,1419.3904738569927,1.580375864592735e-47
215.45988258317027,1419.3849106903463,1.3022020141270714e-48
216.6340508806262,1419.3793475236994,1.0432883515195568e-49
217.80821917808214,1419.373784357053,8.127140659401895e-51
218.9823874755382,1419.3682211904063,6.155708364750505e-52
220.15655577299412,1419.3626580237596,4.533405602950494e-53
221.33072407045006,1419.357094857113,3.2462118193522226e-54
222.5048923679061,1419.3515316904666,2.2601348008690063e-55
223.67906066536204,1419.3459685238197,1.5300179644300677e-56
224.85322896281798,1419.3404053571733,1.0070775682626281e-57
226.02739726027403,1419.3348421905266,6.445150163189739e-59
227.20156555772996,1419.32927902388,4.0105729270546193e-60
228.3757338551859,1419.3237158572333,2.426512895705713e-61
229.54990215264183,1419.3181526905869,1.427450837500292e-62
230.72407045009788,1419.31258952394,8.164726858558322e-64
231.89823874755382,1419.3070263572936,4.5407092371780284e-65
233.07240704500975,1419.301463190647,2.4553129568751026e-66
234.2465753424658,1419.2959000240003,1.2908945250331567e-67
235.42074363992174,1419.2903368573536,6.598952825034195e-69
236.59491193737767,1419.2847736907072,3.279890022311637e-70
237.7690802348336,1419.2792105240603,1.5850507599160496e-71
238.94324853228966,1419.273647357414,7.447771679485896e-73
240.1174168297456,1419.2680841907672,3.402581071553874e-74
241.29158512720153,1419.2625210241206,1.5114341371778423e-75
242.46575342465758,1419.256957857474,6.527821480177707e-77
243.6399217221135,1419.2513946908275,2.7412288594769907e-78
244.81409001956945,1419.2458315241806,1.1192316987215308e-79
245.98825831702538,1419.2402683575342,4.443161419966072e-81
247.16242661448143,1419.2347051908876,1.7149887512780102e-82
248.33659491193737,1419.229142024241,6.436166542404493e-84
249.5107632093933,1419.2235788575942,2.3484959187918474e-85
250.68493150684935,1419.2180156909478,8.331987651714548e-87
251.8590998043053,1419.212452524301,2.874110333299086e-88
253.03326810176122,1419.2068893576545,9.639488973535416e-90
254.20743639921727,1419.2013261910079,3.14340322119337e-91
255.3816046966732,1419.1957630243612,9.96647181677894e-93
256.55577299412914,1419.1901998577146,3.072400464005257e-94
257.7299412915851,1419.1846366910681,9.208926365927537e-96
258.9041095890411,1419.1790735244213,2.683704861966109e-97
260.07827788649706,1419.1735103577748,7.604223272717663e-99
261.252446183953,1419.1679471911282,2.0949280258716244e-100
262.42661448140905,1419.1623840244815,5.611478246168688e-102
263.600782778865,1419.1568208578349,1.4614339287599566e-103
264.7749510763209,1419.1512576911884,3.700621033205883e-105
265.94911937377685,1419.1456945245416,9.110943836339697e-107
267.1232876712329,1419.1401313578951,2.1809477657860353e-108
268.29745596868884,1419.1345681912485,5.075982431196386e-110
269.4716242661448,1419.1290050246018,1.1486500205954535e-111
270.6457925636008,1419.1234418579552,2.5272483914473074e-113
271.81996086105676,1419.1178786913088,5.406305057461289e-115
272.9941291585127,1419.1123155246619,1.1244636226790436e-116
274.16829745596874,1419.1067523580155,2.2739575291240676e-118
275.3424657534247,1419.1011891913688,4.4710672317326295e-120
276.5166340508806,1419.0956260247222,8.547356218836568e-122
277.69080234833655,1419.0900628580755,1.5887077082353576e-123
278.8649706457926,1419.0844996914288,2.871095529892365e-125
280.03913894324853,1419.0789365247822,5.044783981705432e-127
281.21330724070447,1419.0733733581358,8.618439744245595e-129
282.3874755381605,1419.0678101914891,1.4315473726316972e-130
283.56164383561645,1419.0622470248425,2.311924551037071e-132
284.7358121330724,1419.0566838581958,3.6302146839317704e-134
285.9099804305283,1419.0511206915492,5.5421917201388655e-136
287.08414872798437,1419.0455575249025,8.2266161164718e-138
288.2583170254403,1419.039994358256,1.187274770882893e-139
289.43248532289624,1419.0344311916094,1.665986351784926e-141
290.6066536203523,1419.0288680249628,2.2729072109484317e-143
291.7808219178082,1419.0233048583161,3.0149625237604506e-145
292.95499021526416,1419.0177416916695,3.888409127577943e-147
